Kanji,nghia,bo,status,order
丂,丂: 5,丂,,0
号,"HIỆU, HÀO: phiên hiệu, tín hiệu, phù hiệu",丂,,0
巧,XẢO: tinh xảo,丂,,0
朽,HỦ: bất hủ,丂,,0
汚,Ô: ô nhiễm,丂,,0
誇,KHOA: khoa trương,丂,,0
与,"DỮ, DỰ: cấp dữ, tham dự",与,,0
写,TẢ: miêu tả,与,,0
丁,ĐINH: đinh ninh,丁,,0
寧,NINH: an ninh,丁,,0
庁,"SẢNH, THÍNH: đại sảnh",丁,,0
打,"ĐẢ: đả kích, ẩu đả",丁,,0
灯,ĐĂNG: hải đăng,丁,,0
町,ĐINH: khu phố,丁,,0
訂,ĐÍNH: đính chính,丁,,0
貯,"TRỮ: tàng trữ, lưu trữ",丁,,0
頂,"ĐỈNH, ĐÍNH: thiên đỉnh, đỉnh đầu",丁,,0
工,"CÔNG: công tác, công nhân",工,,0
功,CÔNG: công lao,工,,0
差,"SAI: sai khác, sai biệt",工,,0
攻,"CÔNG: tấn công, công kích",工,,0
江,"GIANG: trường giang, giang hồ",工,,0
紅,HỒNG: hồng quân,工,,0
虹,HỒNG: cầu vồng,工,,0
貢,CỐNG: cống hiến,工,,0
項,HẠNG: hạng mục,工,,0
丑,SỬU,丑,,0
羞,TU: thẹn,丑,,0
雲,VÂN: mây,雲,,0
曇,ĐÀM: có mây,雲,,0
並,TỊNH: xếp hàng,並,,0
普,PHỔ: phổ thông,並,,0
譜,"PHỔ, PHẢ: phổ nhạc, gia phả",並,,0
湿,THẤP: ẩm thấp,並,,0
霊,LINH: linh hồn,並,,0
顕,"HIỂN: hiển hách, hiển thị",並,,0
奴,"NÔ: nô lệ, nô dịch",奴,,0
努,NỖ: nỗ lực,奴,,0
怒,NỘ: thịnh nộ,奴,,0
亢,亢: ghế trên đầu,亢,,0
坑,KHANH: hố đào,亢,,0
抗,"KHÁNG: chống lại, đề kháng, kháng chiến",亢,,0
航,"HÀNG: hàng không, hàng hải",亢,,0
亦,"亦: thiếu 1 mới đỏ, chưa đỏ",亦,,0
変,"BIẾN: biến đổi, biến thiên",亦,,0
恋,"LUYẾN: lưu luyến, luyến ái",亦,,0
湾,LOAN: vịnh,亦,,0
蛮,"MAN: man di, dã man",亦,,0
跡,"TÍCH: dấu tích, vết tích",亦,,0
赤,"XÍCH: đỏ, xích kì, xích đạo, xích thập tự",赤,,0
嚇,"HÁCH: nạt nộ, hách dịch",赤,,0
赦,"XÁ: tha thứ, dung xá, xá tội",赤,,0
从,从: 2 người,从,,0
傘,TẢN: cái ô,从,,0
卒,"TỐT, THỐT: tốt nghiệp",从,,0
前,"TIỀN: trước, tiền sử, tiền chiến, mặt tiền",前,,0
煎,"TIÊN, TIỄN: rang cháy",前,,0
亼,亼: 1 người,亼,,0
愉,"DU: sảng khoái, du khoái",亼,,0
諭,DỤ: cảnh báo,亼,,0
輸,"THÂU: thâu nhập, thâu xuất",亼,,0
兄,HUYNH: phụ huynh,兄,,0
克,KHẮC: khắc phục,兄,,0
呪,CHÚ: rủa,兄,,0
況,"HUỐNG: tình huống, trạng huống",兄,,0
祝,CHÚC: chúc phúc,兄,,0
競,CẠNH: cạnh tranh,兄,,0
兑,兑: TV,兑,,0
悦,DUYỆT: vui vẻ,兑,,0
税,THUẾ: thuế vụ,兑,,0
